word,occurrence,percentage,cumulative
én,34,0.000227,0.5478270000000003
maak,34,0.000227,0.5480540000000003
d,34,0.000227,0.5482810000000002
baudet,34,0.000227,0.5485080000000002
zoek,34,0.000227,0.5487350000000002
kopen,34,0.000227,0.5489620000000002
dingen,34,0.000227,0.5491890000000001
opnieuw,34,0.000227,0.5494160000000001
groot,34,0.000227,0.5496430000000001
stop,34,0.000227,0.5498700000000001
veelrijder,33,0.00022,0.5500900000000001
informatie,33,0.00022,0.5503100000000001
kilometerheffing,33,0.00022,0.5505300000000001
genoeg,33,0.00022,0.5507500000000001
kunt,33,0.00022,0.5509700000000001
valt,33,0.00022,0.5511900000000001
jan,33,0.00022,0.5514100000000001
neem,33,0.00022,0.5516300000000001
he,33,0.00022,0.5518500000000001
b,33,0.00022,0.5520700000000001
website,32,0.000213,0.5522830000000001
vast,32,0.000213,0.5524960000000001
klaar,32,0.000213,0.5527090000000001
vrouwen,32,0.000213,0.5529220000000001
fijne,32,0.000213,0.5531350000000002
fvd-verbod,32,0.000213,0.5533480000000002
vochtigheid,32,0.000213,0.5535610000000002
centrum,32,0.000213,0.5537740000000002
zwolle,32,0.000213,0.5539870000000002
lezen,32,0.000213,0.5542000000000002
18,32,0.000213,0.5544130000000003
trouw,31,0.000207,0.5546200000000002
war,31,0.000207,0.5548270000000002
medewerker,31,0.000207,0.5550340000000001
meest,31,0.000207,0.5552410000000001
uw,31,0.000207,0.555448
normaal,31,0.000207,0.555655
kans,31,0.000207,0.555862
vanavond,31,0.000207,0.5560689999999999
minister,31,0.000207,0.5562759999999999
duidelijk,31,0.000207,0.5564829999999998
zoveel,31,0.000207,0.5566899999999998
zorg,30,0.0002,0.5568899999999998
dusel,30,0.0002,0.5570899999999998
17,30,0.0002,0.5572899999999997
antwerpen,30,0.0002,0.5574899999999997
zonnig,30,0.0002,0.5576899999999997
rtlnieuws,30,0.0002,0.5578899999999997
app,30,0.0002,0.5580899999999996
europese,30,0.0002,0.5582899999999996
innen,30,0.0002,0.5584899999999996
50,30,0.0002,0.5586899999999996
27,30,0.0002,0.5588899999999996
idee,30,0.0002,0.5590899999999995
niemand,30,0.0002,0.5592899999999995
tips,30,0.0002,0.5594899999999995
